AWS Account Number,AWS account Name,Account Provisioning Date,Active / Suspended, Classification,Management Type,Total Cost in Indian Rupees
100942612345,Infosys Central Production,Jan 31 2019,ACTIVE,Class-3,Managed Services,100
722072123460,shared-services,Jan 31 2019,ACTIVE,Class-3,Managed Services,300
722072123461,awsproject_foundationservices,Feb 17 2022,ACTIVE,Class-3,Managed Services,500
722072123462,awsproject_managednetworks,Jun 12 2019,ACTIVE,Class-3,Managed Services,700
722072123463,log-archive,Jan 31 2019,ACTIVE,Class-3,Managed Services,900
722072123464,awsproject_prod,Feb 15 2019,ACTIVE,Class-3,Managed Services,1100
722072123465,awsproject_nonprod,Feb 15 2019,ACTIVE,Class-2,Managed Services,1300
722072123466,awsproject_fsautomation,Aug 23 2021,ACTIVE,Class-1,Managed Services,1500
722072123467,awsproject_cloudtooling,Sep 13 2021,ACTIVE,Class-3,Managed Services,1700
722072123468,awsproject_cloudtoolingdev,Feb 16 2022,ACTIVE,Class-2,Managed Services,1900
722072123469,awsproject_toolingdata_p,Jul 23 2022,ACTIVE,Class-3,Managed Services,2100
722072123470,awsproject_toolingdatadev_np,Jul 23 2022,ACTIVE,Class-2,Managed Services,2300
722072123471,awsproject_clouddatalake_prd,Nov 10 2022,ACTIVE,Class-3,Managed Services,2500
722072123472,awsproject_clouddatalake_dev,Nov 10 2022,ACTIVE,Class-1,Managed Services,2700
722072123473,awsproject_cloudanalytics,May 20 2021,ACTIVE,Class-3,Managed Services,2900
722072123474,awsproject_cmdb_ssm_production,Mar 20 2023,ACTIVE,Class 3,Self Service,3100
722072123475,awsproject_megreplatforming,Nov 25 2020,ACTIVE,Class-3,Self Service,3300
722072123476,awsproject_sophiaclouddatagovernance,Dec 02 2021,ACTIVE,Class-1,Self Service,3500
722072123477,awsproject-Anthos-POC,Aug 17 2020,ACTIVE,Class-1,Self Service,3700
722072123478,awsproject_sophiaclouddatagov_np,Jun 01 2022,ACTIVE,Class-2,Self Service,3900
722072123479,awsproject_sophiaclouddatagov_p,Jun 01 2022,ACTIVE,Class-3,Self Service,4100
722072123480,awsproject_smacloudmonitoringnonprod,Jul 01 2022,ACTIVE,Class-3,Self Service,4300
722072123481,awsproject_smacloudoci,Nov 30 2022,ACTIVE,Class-1,Self Service,4500
722072123482,awsproject_ipslapoc,Jul 13 2022,ACTIVE,Class-1,Self Service,4700
722072123483,awsproject_awsprojectsddcssmproduction,Sep 13 2022,ACTIVE,Class-2,Self Service,4900
722072123484,security,Jul 14 2023,ACTIVE,Class-3,Self Service,5100
722072123485,awsproject_cloudguardpoc,Jan 31 2019,ACTIVE,Class-3,Self Service,5300
722072123486,awsproject_ckpcloudguard,Oct 24 2023,ACTIVE,Class-1,Self Service,5500
722072123487,awsproject_odmibmnonprd,Jul 21 2023,ACTIVE,Class-3,Self Service,5700
722072123488,awsproject_ukmailsandbox,Jul 29 2021,ACTIVE,Class-2,Self Service,5900
722072123489,awsproject_msp,Nov 25 2020,ACTIVE,Class-1,Self Service,6100
722072123490,awsproject_odmibmprd,Oct 18 2019,ACTIVE,Class-3,Self Service,6300
722072123491,awsproject_cmdb,Jul 28 2021,ACTIVE,Class-3,Self Service,6500
722072123492,awsproject_webcareapp_np,Jun 08 2023,ACTIVE,Class 1,Self Service,6700
722072123493,awsproject_tedhods,Sep 09 2022,ACTIVE,Class-2,Self Service,6900
722072123494,awsproject_cdhprod,Sep 21 2020,ACTIVE,Class-3,Self Service,7100
722072123495,awsproject_cdhnonprod,Sep 23 2021,ACTIVE,Class-3,Self Service,7300
722072123496,awsproject_strategicconnectivityprotype,Sep 23 2021,ACTIVE,Class-2,Self Service,7500
722072123497,awsproject_cmsa_prod,Feb 24 2023,ACTIVE,Class-2,Self Service,7700
722072123498,awsproject_jordanaiassistpreprod,Apr 14 2020,ACTIVE,Class-3,Self Service,7900
722072123499,awsproject_backupscmsaprod,Jul 29 2022,ACTIVE,Class-3,Self Service,8100
722072123500,awsproject_awsprojectawsreportportaltest,Jun 20 2024,ACTIVE,Class-3,Self Service,8300
722072123501,awsproject_c-devtykapigatewaysolution,Nov 22 2022,ACTIVE,Class-3,Self Service,8500
722072123502,awsproject_webcareapp_p,Jun 19 2024,ACTIVE,Class-2,Self Service,8700
722072123503,awsproject_backupscdevprod,Feb 18 2022,ACTIVE,Class-2,Self Service,8900
722072123504,awsproject_backupsssamsit,Sep 09 2022,ACTIVE,Class-3,Self Service,9100
722072123505,awsproject_backupsplumeprod,Nov 21 2022,ACTIVE,Class-3,Self Service,9300
722072123506,awsproject_she_prod_environment,Nov 21 2022,ACTIVE,Class-1,Self Service,9500
722072123507,awsproject_cdevtykapigateway,Nov 21 2022,ACTIVE,Class-3,Self Service,9700
722072123508,awsproject_connectivity_p,May 02 2023,ACTIVE,Class-3,Self Service,9900
722072123509,awsproject_dedicatedoneconnectlab,Dec 22 2021,ACTIVE,Class-1,Self Service,10100
722072123510,awsproject_connectivity_np,Jul 14 2022,ACTIVE,Class-3,Self Service,10300
722072123511,awsproject_backupsplumesit,Feb 23 2023,ACTIVE,Class-2,Self Service,10500
